# ----------------------------------------;;;;;;
# Reports snapshot;;;;;;
# Account: Acme.ai;;;;;;
# Property: hello-history;;;;;;
# ----------------------------------------;;;;;;
#  ;;;;;;
# Start date: 20230101;;;;;;
# End date: 20250306;;;;;;
Nth day;Active users;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
321;689;;;;;
322;637;;;;;
323;808;;;;;
324;908;;;;;
325;875;;;;;
326;775;;;;;
327;639;;;;;
328;589;;;;;
329;636;;;;;
330;681;;;;;
331;705;;;;;
332;851;;;;;
333;839;;;;;
334;711;;;;;
335;586;;;;;
336;574;;;;;
337;715;;;;;
338;650;;;;;
339;758;;;;;
340;697;;;;;
341;676;;;;;
342;668;;;;;
343;625;;;;;
344;708;;;;;
345;741;;;;;
346;676;;;;;
347;634;;;;;
348;649;;;;;
349;518;;;;;
350;615;;;;;
351;607;;;;;
352;647;;;;;
353;621;;;;;
354;569;;;;;
355;556;;;;;
356;473;;;;;
357;458;;;;;
358;515;;;;;
359;453;;;;;
360;501;;;;;
361;500;;;;;
362;403;;;;;
363;513;;;;;
364;471;;;;;
365;458;;;;;
366;491;;;;;
367;632;;;;;
368;524;;;;;
369;507;;;;;
370;450;;;;;
371;490;;;;;
372;492;;;;;
373;574;;;;;
374;570;;;;;
375;666;;;;;
376;485;;;;;
377;396;;;;;
378;369;;;;;
379;441;;;;;
380;452;;;;;
381;507;;;;;
382;543;;;;;
383;526;;;;;
384;427;;;;;
385;416;;;;;
386;495;;;;;
387;549;;;;;
388;702;;;;;
389;584;;;;;
390;539;;;;;
391;433;;;;;
392;424;;;;;
393;504;;;;;
394;619;;;;;
395;611;;;;;
396;617;;;;;
397;556;;;;;
398;431;;;;;
399;450;;;;;
400;511;;;;;
401;589;;;;;
402;654;;;;;
403;598;;;;;
404;557;;;;;
405;445;;;;;
406;442;;;;;
407;524;;;;;
408;613;;;;;
409;532;;;;;
410;520;;;;;
411;505;;;;;
412;435;;;;;
413;468;;;;;
414;530;;;;;
415;546;;;;;
