Report Date,New Customers,Paying Customers (3 days),Conversion Rate (3 days)
2022-08-31,0.0,0.0,0.0
2022-09-30,0.0,0.0,0.0
2022-10-31,0.0,0.0,0.0
2022-11-30,0.0,0.0,0.0
2022-12-31,0.0,0.0,0.0
2023-01-31,23629.239064175286,265.8973641699325,1.0615999864596786
2023-02-28,26033.91246421117,229.46866686023031,1.1625675037685816
2023-03-31,20466.2430703785,121.23485965486525,0.6371663467900772
2023-04-30,10758.733072043487,76.52751152922843,0.6594411785503574
2023-05-31,13032.307139261704,94.29987167898106,0.5545566545859065
2023-06-30,8103.033858247568,31.267806862413163,0.37976617999122514
2023-07-31,8821.429267722557,36.09099008183807,0.40839006317060045
2023-08-31,16539.32774223799,81.4953583002591,0.4087309272358794
2023-09-30,17586.206170350884,103.03903121910973,0.6745194980824885
2023-10-31,15220.315813759093,137.7349322079492,1.0679025258557486
2023-11-30,12196.819275111153,271.47262273189887,2.4924408578132535
2023-12-31,7939.551546166548,147.21591441367605,1.612304038130368
2024-01-31,7612.734807959349,81.8018329458879,1.1092749219618399
2024-02-29,8547.629085738696,63.48498370528213,0.9611314229767386
2024-03-31,5769.169606972692,51.998803534488616,0.8083609677299798
2024-04-30,5721.682289306243,25.832034924708196,0.5016932859945131
2024-05-31,7050.478131663159,28.573559606197495,0.36190419509808586
2024-06-30,6236.815439760479,30.53591127031162,0.3994776217560625
2024-07-31,4670.374779236923,10.24808247429463,0.264477332449302
2024-08-31,3250.324452109327,18.602359851834983,0.7480837957347123
2024-09-30,5188.002440107229,13.623496160551237,0.35498034677390083
2024-10-31,6728.228179599522,27.89521203690723,0.39860736279937375
2024-11-30,4953.476560285879,12.881881145871969,0.4245722421134955
2024-12-31,2788.6892880026403,10.52980202096519,0.3201376277134303
2025-01-31,4174.406167075363,10.212111839494229,0.21879472324554383
2025-02-28,4303.98655032912,14.721826259423114,0.35406789181366666
2025-03-31,639.1580836479295,3.71302655148524,0.6636628842506594
